country,City,ClinicName,Latitude,Longitude,Address,Phone Number,Website,name,url
Albania,Tirana,Klinika Gliozheni,41.3263619,19.8317874,"Rruga Zonja Çurre, Tiranë, Albania",067 273 3333,http://www.klinikagliozheni.com/,Klinika Gliozheni,https://maps.google.com/?cid=10286973360042178379
Armenia,Yerevan,Fertility Center,40.200188,44.5764556,"41/57, 41/7 Moldovakan St, Yerevan 0062, Armenia",060 506601,https://fertilitycenter.am/,Fertility Center Armenia - IVF & Infertility Clinic,https://maps.google.com/?cid=3126201450398544169
Armenia,Yerevan,Vitromed,40.1783692,44.491034,"10, 2 Ayasi str, Yerevan 0082, Armenia",(010) 750085,http://vitromed.am/,VITROMED Medical Center Yerevan,https://maps.google.com/?cid=8563168818338773588
Armenia,Yerevan,Shengavit,40.1379347,44.4787217,"Shengavit, Yerevan, Armenia",,,Shengavit,"https://maps.google.com/?q=Shengavit,+Yerevan,+Armenia&ftid=0x406abeb8af1e1d1b:0x7adae8c0b72623f6"
Armenia,Yerevan,IVF Center of Institute of Perinatal Reproductive Medicine and Ob/Gyn,40.200188,44.5764556,"41/57, 41/7 Moldovakan St, Yerevan 0062, Armenia",060 506601,https://fertilitycenter.am/,Fertility Center Armenia - IVF & Infertility Clinic,https://maps.google.com/?cid=3126201450398544169
Armenia,Yerevan,IVF Center of Institute of Maternal and child Health institute,40.200188,44.5764556,"41/57, 41/7 Moldovakan St, Yerevan 0062, Armenia",060 506601,https://fertilitycenter.am/,Fertility Center Armenia - IVF & Infertility Clinic,https://maps.google.com/?cid=3126201450398544169
Armenia,Yerevan,IVF Center of Astkhik Medcial Center.,40.200188,44.5764556,"41/57, 41/7 Moldovakan St, Yerevan 0062, Armenia",060 506601,https://fertilitycenter.am/,Fertility Center Armenia - IVF & Infertility Clinic,https://maps.google.com/?cid=3126201450398544169
Austria,Baden,Wunschbabyinstitut Feichtinger,48.0034164,16.2368464,"Roseggerstraße 4, 2500 Baden, Austria",02252 206857,http://www.wunschbaby-baden.at/,"Wunschbaby Institut Feichtinger NÖ, Kinderwunsch-Zentrum Niederösterreich",https://maps.google.com/?cid=10742709480731998275
Austria,Bregenz,IVF-Zentren Prof. Zech,47.5023946,9.7466301,"Römerstraße 2, 6900 Bregenz, Austria",05574 44836,http://www.ivf.at/,Next Fertility IVF Prof. Zech Bregenz,https://maps.google.com/?cid=16255981184017115082
Austria,Dobl,Kinderwunschinstitut Schenk,46.95063,15.3809904,"Am Sendergrund 11, 8143 Dobl, Austria",03136 55111,https://www.kinderwunsch-institut.at/,Kinderwunsch Institut - Dr. Schenk,https://maps.google.com/?cid=9115438969463905920
Austria,Feldkirch,Kinderwunschzentrum Landeskrankenhaus Feldkirch,47.2311043,9.58008,"Carinagasse 47, 6800 Feldkirch, Austria",05522 303,http://www.lkhf.at/,Landeskrankenhaus Feldkirch,https://maps.google.com/?cid=10754831969283563948
